iteration,prim_res,dual_res,duality_gap,restart
162,2.536e-04,9.735e-03,-5.843e-02,0
163,2.371e-04,9.731e-03,-5.845e-02,0
164,2.348e-04,9.725e-03,-5.839e-02,0
165,2.491e-04,9.713e-03,-5.826e-02,0
166,2.630e-04,9.694e-03,-5.808e-02,0
167,2.761e-04,9.667e-03,-5.786e-02,0
168,2.879e-04,9.629e-03,-5.762e-02,0
169,2.980e-04,9.580e-03,-5.737e-02,0
170,3.063e-04,9.519e-03,-5.711e-02,0
171,3.124e-04,9.448e-03,-5.686e-02,0
172,3.163e-04,9.366e-03,-5.663e-02,0
173,3.180e-04,9.275e-03,-5.641e-02,0
174,3.173e-04,9.176e-03,-5.622e-02,0
175,3.174e-04,9.073e-03,-5.608e-02,0
176,3.616e-04,8.203e-03,-5.244e-02,0
177,3.185e-04,7.329e-03,-5.012e-02,0
178,2.637e-04,6.673e-03,-4.875e-02,0
179,2.650e-04,6.414e-03,-4.792e-02,0
180,2.968e-04,6.506e-03,-4.730e-02,0
181,3.180e-04,6.651e-03,-4.673e-02,0
182,3.312e-04,6.782e-03,-4.616e-02,0
183,3.393e-04,6.861e-03,-4.555e-02,0
184,3.443e-04,6.880e-03,-4.492e-02,0
185,3.478e-04,6.842e-03,-4.429e-02,0
186,3.504e-04,6.764e-03,-4.368e-02,0
187,3.522e-04,6.662e-03,-4.310e-02,0
188,3.533e-04,6.550e-03,-4.254e-02,0
189,3.537e-04,6.440e-03,-4.201e-02,0
190,3.537e-04,6.337e-03,-4.148e-02,0
191,3.535e-04,6.245e-03,-4.095e-02,0
192,3.533e-04,6.169e-03,-4.035e-02,0
193,3.531e-04,6.263e-03,-3.840e-02,0
194,3.428e-04,6.211e-03,-3.666e-02,0
195,3.495e-04,6.025e-03,-3.505e-02,0
196,3.557e-04,5.820e-03,-3.373e-02,0
197,3.572e-04,5.657e-03,-3.269e-02,0
198,3.522e-04,5.847e-03,-3.190e-02,0
199,3.407e-04,6.046e-03,-3.128e-02,0
200,3.241e-04,6.183e-03,-3.075e-02,0
201,3.049e-04,6.263e-03,-3.023e-02,0
202,2.853e-04,6.292e-03,-2.967e-02,0
203,2.667e-04,6.279e-03,-2.903e-02,0
204,2.653e-04,6.230e-03,-2.828e-02,0
205,2.709e-04,6.152e-03,-2.743e-02,0
206,2.724e-04,6.048e-03,-2.650e-02,0
207,2.702e-04,5.921e-03,-2.551e-02,0
208,2.646e-04,5.772e-03,-2.449e-02,0
209,2.676e-04,5.602e-03,-2.348e-02,0
210,2.707e-04,5.413e-03,-2.248e-02,0
211,2.719e-04,5.207e-03,-2.151e-02,0
212,2.708e-04,4.987e-03,-2.057e-02,0
213,2.729e-04,4.760e-03,-1.966e-02,0
214,2.778e-04,4.529e-03,-1.877e-02,0
215,2.814e-04,4.298e-03,-1.789e-02,0
216,2.836e-04,4.012e-03,-1.700e-02,0
217,2.861e-04,3.907e-03,-1.635e-02,0
218,2.909e-04,3.892e-03,-1.567e-02,0
219,2.920e-04,3.913e-03,-1.499e-02,0
220,2.881e-04,3.973e-03,-1.431e-02,0
221,2.791e-04,4.057e-03,-1.364e-02,0
222,2.660e-04,4.146e-03,-1.296e-02,0
223,2.500e-04,4.229e-03,-1.228e-02,0
224,2.431e-04,4.300e-03,-1.161e-02,0
225,2.363e-04,4.356e-03,-1.097e-02,0
